trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599630773892,4503599630773892,11821949021891677,Varennes En Clavié VARENNES,1,4503599630773892
4503599630773894,4503599630773892,11821949021891677,Varennes En Clavié VARENNES,1,4503599630773892
4503599630773896,4503599630773892,11821949021891677,Varennes En Clavié VARENNES,1,4503599630773892
4503599630773898,4503599630773892,11821949021891677,Varennes En Clavié VARENNES,1,4503599630773892
4503599630773900,4503599630773892,11821949021891677,Varennes En Clavié VARENNES,1,4503599630773892
4503599630773902,4503599630773892,11821949021891677,Varennes En Clavié VARENNES,1,4503599630773892
4503599630810392,4503599630773892,11821949021891678,Montbrun Lauragais Roumieu MONTBRUN-LAURAGAIS,1,4503599630810392
4503599630810394,4503599630810394,11821949021891678,Montbrun Lauragais Roumieu MONTBRUN-LAURAGAIS,1,4503599630810392
4503599630810396,4503599630773892,11821949021891678,Montbrun Lauragais Roumieu MONTBRUN-LAURAGAIS,1,4503599630810392
4503599630810398,4503599630773892,11821949021891678,Montbrun Lauragais Roumieu MONTBRUN-LAURAGAIS,1,4503599630810392
4503599630810400,4503599630773892,11821949021891678,Montbrun Lauragais Roumieu MONTBRUN-LAURAGAIS,1,4503599630810392
4503599630810402,4503599630773892,11821949021891678,Montbrun Lauragais Roumieu MONTBRUN-LAURAGAIS,1,4503599630810392
4503599630810406,4503599630810394,11821949021891678,Montbrun Lauragais Roumieu MONTBRUN-LAURAGAIS,1,4503599630810392
4503599631507892,4503599631507892,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507893,4503599631507892,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507895,4503599631507895,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507896,4503599631507892,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507897,4503599631507895,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507898,4503599631507892,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507899,4503599631507895,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507900,4503599631507892,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507901,4503599631507892,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507902,4503599631507895,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507903,4503599631507892,11821949021891897,Balma-Gramont BALMA,0,4503599631507892
4503599631507904,4503599631507892,11821949021891897,Drémil Stade DREMIL-LAFAGE,1,4503599631507904
4503599631507905,4503599631507892,11821949021891897,Drémil Stade DREMIL-LAFAGE,1,4503599631507904
4503599631507906,4503599631507895,11821949021891897,Drémil Stade DREMIL-LAFAGE,1,4503599631507904
4503599631507907,4503599631507892,11821949021891897,Drémil Stade DREMIL-LAFAGE,1,4503599631507904
4503599631507908,4503599631507895,11821949021891897,Drémil Stade DREMIL-LAFAGE,1,4503599631507904
4503599631507910,4503599631507895,11821949021891897,Drémil Stade DREMIL-LAFAGE,1,4503599631507904
4503599631507912,4503599631507892,11821949021891897,Drémil Stade DREMIL-LAFAGE,1,4503599631507904
4503599631507913,4503599631507895,11821949021891897,Drémil Stade DREMIL-LAFAGE,1,4503599631507904
